流水日期,收付方向,对方名称,金额(元),备注,关联合同号,账户类型
2026-07-29,收入,客户0,99990,软件服务费,HT-001,对公账户
2026-07-29,收入,客户1,99990,软件服务费,HT-002,对公账户
2026-07-29,收入,客户2,99990,软件服务费,HT-003,对公账户
2026-07-30,收入,客户3,99990,软件服务费,HT-004,对公账户
2026-07-30,收入,客户4,99990,软件服务费,HT-005,对公账户
2026-07-30,收入,客户5,99990,软件服务费,HT-006,对公账户
2026-07-25,收入,星城制造有限公司,900000,软件服务费,HT-003,个人账户
2026-07-10,收入,客户A1,400000,软件服务费,,对公账户
2026-07-11,收入,客户A2,350000,软件服务费,,对公账户
2026-07-08,支出,湘江餐饮,3000000,餐饮费,,对公账户
2026-07-09,支出,麓谷餐饮,2500000,餐饮费,,对公账户
2026-07-10,支出,星光娱乐,2000000,娱乐费,,对公账户
2026-07-11,支出,湘江餐饮,1500000,餐饮费,,对公账户
2026-07-12,支出,走逃软件公司,1000000,软件服务费,HT-003,个人账户
